"covidence_id","source","paper_title","short_cite","citation","link","spec_site","site","WDPA.ID","plot_size_ha","lat","long","area","paper_month_start","paper_year_start","paper_month_end","paper_year_end","method","fruit_flower","onset","end","percent_species","percent_indiv","reproduction % basal area","other_descript","onset_date","end_date","paper_start_month","paper_end_month","paper_start_date","paper_end_date"
"4","lit review","Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo","Brearley et al. 2007","BREARLEY, F.Q., PROCTOR, J., , NAGY, L., DALRYMPLE, G. and VOYSEY, B.C. (2007), Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo. Journal of Ecology, 95: 828-839. https://doi.org/10.1111/j.1365-2745.2007.01258.x","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2007.01258.x",NA,"Barito Ulu","NA","430","-0.1","114","Central Kalimantan","March",1990,"June",2000,"binoculars","flower","September 1991","December 1991",NA,"68%",NA,NA,1991-09-01,1991-12-01,"March","June",1990-03-01,2000-06-01
"4","lit review","Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo","Brearley et al. 2007","BREARLEY, F.Q., PROCTOR, J., , NAGY, L., DALRYMPLE, G. and VOYSEY, B.C. (2007), Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo. Journal of Ecology, 95: 828-839. https://doi.org/10.1111/j.1365-2745.2007.01258.x","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2007.01258.x",NA,"Barito Ulu","NA","430","-0.1","114","Central Kalimantan","March",1990,"June",2000,"binoculars","fruit","January 1992","March 1992",NA,NA,NA,"similar to number of trees observed flowering",1992-01-01,1992-03-01,"March","June",1990-03-01,2000-06-01
"4","lit review","Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo","Brearley et al. 2007","BREARLEY, F.Q., PROCTOR, J., , NAGY, L., DALRYMPLE, G. and VOYSEY, B.C. (2007), Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo. Journal of Ecology, 95: 828-839. https://doi.org/10.1111/j.1365-2745.2007.01258.x","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2007.01258.x",NA,"Barito Ulu","NA","430","-0.1","114","Central Kalimantan","March",1990,"June",2000,"binoculars","flower","November 1994","January 1995",NA,"46%",NA,NA,1994-11-01,1995-01-01,"March","June",1990-03-01,2000-06-01
"4","lit review","Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo","Brearley et al. 2007","BREARLEY, F.Q., PROCTOR, J., , NAGY, L., DALRYMPLE, G. and VOYSEY, B.C. (2007), Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo. Journal of Ecology, 95: 828-839. https://doi.org/10.1111/j.1365-2745.2007.01258.x","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2007.01258.x",NA,"Barito Ulu","NA","430","-0.1","114","Central Kalimantan","March",1990,"June",2000,"binoculars","fruit","February 1995","April 1995",NA,NA,NA,"similar to number of trees observed flowering",1995-02-01,1995-04-01,"March","June",1990-03-01,2000-06-01
"4","lit review","Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo","Brearley et al. 2007","BREARLEY, F.Q., PROCTOR, J., , NAGY, L., DALRYMPLE, G. and VOYSEY, B.C. (2007), Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo. Journal of Ecology, 95: 828-839. https://doi.org/10.1111/j.1365-2745.2007.01258.x","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2007.01258.x",NA,"Barito Ulu","NA","430","-0.1","114","Central Kalimantan","March",1990,"June",2000,"binoculars","flower","August 1997","November 1997",NA,"65%",NA,NA,1997-08-01,1997-11-01,"March","June",1990-03-01,2000-06-01
"4","lit review","Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo","Brearley et al. 2007","BREARLEY, F.Q., PROCTOR, J., , NAGY, L., DALRYMPLE, G. and VOYSEY, B.C. (2007), Reproductive phenology over a 10-year period in a lowland evergreen rain forest of central Borneo. Journal of Ecology, 95: 828-839. https://doi.org/10.1111/j.1365-2745.2007.01258.x","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2007.01258.x",NA,"Barito Ulu","NA","430","-0.1","114","Central Kalimantan","March",1990,"June",2000,"binoculars","fruit","December 1997","February 1998",NA,NA,NA,"similar to number of trees observed flowering",1997-12-01,1998-02-01,"March","June",1990-03-01,2000-06-01
"5","lit review","Reproduction of dipterocarps during low intensity masting events in a Bornean rain forest","Maycock et al. 2005","Maycock, C.R., Thewlis, R.N., Ghazoul, J., Nilus, R. and Burslem, D.F.R.P. (2005), Reproduction of dipterocarps during low intensity masting events in a Bornean rain forest. Journal of Vegetation Science, 16: 635-646. https://doi.org/10.1111/j.1654-1103.2005.tb02406.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-1103.2005.tb02406.x",NA,"Sepilok Forest Reserve","3406","640","5.1666667","117.933333","Sabah","July",2001,"November",2003,"seed traps and quadrats","flower","July 2001","October 2001",NA,NA,NA,"observed in 16 species of dipterocarps",2001-07-01,2001-10-01,"July","November",2001-07-01,2003-11-01
"5","lit review","Reproduction of dipterocarps during low intensity masting events in a Bornean rain forest","Maycock et al. 2005","Maycock, C.R., Thewlis, R.N., Ghazoul, J., Nilus, R. and Burslem, D.F.R.P. (2005), Reproduction of dipterocarps during low intensity masting events in a Bornean rain forest. Journal of Vegetation Science, 16: 635-646. https://doi.org/10.1111/j.1654-1103.2005.tb02406.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-1103.2005.tb02406.x",NA,"Sepilok Forest Reserve","3406","640","5.1666667","117.933333","Sabah","July",2001,"November",2003,"seed traps and quadrats","fruit","December 2001","February 2002",NA,NA,NA,NA,2001-12-01,2002-02-01,"July","November",2001-07-01,2003-11-01
"5","lit review","Reproduction of dipterocarps during low intensity masting events in a Bornean rain forest","Maycock et al. 2005","Maycock, C.R., Thewlis, R.N., Ghazoul, J., Nilus, R. and Burslem, D.F.R.P. (2005), Reproduction of dipterocarps during low intensity masting events in a Bornean rain forest. Journal of Vegetation Science, 16: 635-646. https://doi.org/10.1111/j.1654-1103.2005.tb02406.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-1103.2005.tb02406.x",NA,"Sepilok Forest Reserve","3406","640","5.1666667","117.933333","Sabah","July",2001,"November",2003,"seed traps and quadrats","flower","April 2002","July 2002",NA,NA,NA,"The 2002 flower-ing event was larger than that in 2001 and was domi-nated by the flowering of the emergent alluvial forestspecies Parashorea tomentella",2002-04-01,2002-07-01,"July","November",2001-07-01,2003-11-01
"5","lit review","Reproduction of dipterocarps during low intensity masting events in a Bornean rain forest","Maycock et al. 2005","Maycock, C.R., Thewlis, R.N., Ghazoul, J., Nilus, R. and Burslem, D.F.R.P. (2005), Reproduction of dipterocarps during low intensity masting events in a Bornean rain forest. Journal of Vegetation Science, 16: 635-646. https://doi.org/10.1111/j.1654-1103.2005.tb02406.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-1103.2005.tb02406.x",NA,"Sepilok Forest Reserve","3406","640","5.1666667","117.933333","Sabah","July",2001,"November",2003,"seed traps and quadrats","fruit","June 2002","October 2002",NA,NA,NA,"The 2002 flower-ing event was larger than that in 2001 and was domi-nated by the flowering of the emergent alluvial forestspecies Parashorea tomentella",2002-06-01,2002-10-01,"July","November",2001-07-01,2003-11-01
