site,area,lat,long,merged_areas,dataset_name,data_source_types,period_start,period_end,dipterocarp_only,fl_threshold,fl_threshold_method,fr_threshold,fr_threshold_method,citations
Anduki Forest Reserve,Brunei,4.6275,114.3669833,NA,Literature_review,lit review,2014-03-01,2014-05-01,NA,NA,NA,NA,NA,(Din et al. 2018)
Badas,Brunei,4.5692,114.4111333,NA,Literature_review,lit review,2014-03-01,2014-05-01,NA,NA,NA,NA,NA,(Din et al. 2018)
Barito Ulu,Central Kalimantan,-0.1,114,NA,Literature_review,lit review,1989-12-01,2000-09-01,NA,NA,NA,NA,NA,(Brearley et al. 2007)
Sungai Wain Protection Forest,East Kalimantan,-1.0833333,116.8166667,NA,Literature_review,lit review,1997-10-01,2002-10-01,NA,NA,NA,NA,NA,"(Fredriksson, Wich & Trisno 2006)"
FRIM Malaysia - Kepong - Ampang,Peninsular Malaysia,3.230544,101.627185,"Merged FRIM, Kepong, and Ampang (proximate sites)",FRIM,published_long_term,1976-01-01,2009-12-01,TRUE,0.121,GMM,0.16,GMM,(Numata_Satake_2022)
FRIM Malaysia - Kepong - Ampang,Peninsular Malaysia,3.230544,101.627185,"Merged FRIM, Kepong, and Ampang (proximate sites)",Literature_review,found as long term dataset ref in Numata 1999,1972-10-01,1984-03-01,NA,NA,NA,NA,NA,(Yap & Chan 1990)
Gombak,Peninsular Malaysia,3.299987,101.783337,NA,Literature_review,found as long term dataset ref in Numata 1999,1972-10-01,1984-03-01,NA,NA,NA,NA,NA,(Yap & Chan 1990)
Krau Wildlife Reserve,Peninsular Malaysia,3.600193,102.057445,NA,additional_contributed_obs,additional_contributed_obs,1976-03-01,1976-07-01,NA,NA,NA,NA,NA,(John Payne)
Pasoh Forest Reserve,Peninsular Malaysia,2.982,102.313,NA,Literature_review,found as long term dataset ref in Numata 1999; lit review,1972-10-01,2005-04-01,NA,NA,NA,NA,NA,(Hosaka et al. 2011); (Hosaka et al. 2017); (Naito et al. 2008); (Numata et al. 1999); (Numata et al. 2012); (Sun et al. 2007); (Yap & Chan 1990)
Pasoh Forest Reserve,Peninsular Malaysia,2.982,102.313,NA,Pasoh,published_long_term,2002-04-01,2014-10-01,TRUE,0.377,GMM,NA,NA,(Chen_published_2017)
Pasoh Forest Reserve,Peninsular Malaysia,2.982,102.313,NA,additional_contributed_obs,additional_contributed_obs,2014-03-01,2014-09-01,NA,NA,NA,NA,NA,(Tetsuro Hosaka)
Royal Belum State Park,Peninsular Malaysia,5.781373,101.515246,NA,additional_contributed_obs,additional_contributed_obs,2016-07-01,2017-12-01,NA,NA,NA,NA,NA,(Lisa Ong)
Semangkok Forest Reserve,Peninsular Malaysia,3.6166667,101.733333,NA,Literature_review,lit review,1996-10-01,1998-11-01,NA,NA,NA,NA,NA,(Niiyama et al. 2016)
Sungai Tekam Forest Reserve,Peninsular Malaysia,4.25,102.45,NA,Literature_review,lit review,1987-06-01,1987-10-01,NA,NA,NA,NA,NA,(Appanah & Manaf 1994)
Danum Valley,Sabah,4.964768,117.805078,NA,Literature_review,lit review,1996-07-01,2021-03-01,NA,NA,NA,NA,NA,"(Bartholomew et al. 2024); (Bebber et al. 2004); (Granados, Bernard & Brodie, 2019); (Hanya & Bernard 2012); (Hanya & Bernard 2016); (Kanamori et al. 2017)"
Danum Valley,Sabah,4.964768,117.805078,NA,additional_contributed_obs,additional_contributed_obs,2002-01-01,2022-12-01,NA,NA,NA,NA,NA,(Micheal O'Brien)
Deramakot Forest Reserve,Sabah,5.3666667,117.4166667,NA,Literature_review,lit review,2010-04-01,2014-12-01,NA,NA,NA,NA,NA,(Aoyagi et al. 2018); (Aoyagi et al. 2023)
Imbak Canyon,Sabah,5.15928,116.926356,NA,additional_contributed_obs,additional_contributed_obs,2019-04-01,2019-11-01,NA,NA,NA,NA,NA,(Micheal O'Brien)
